name,type,description,weight,durability,attacks,strength,dexterity,intelligence,faith
Crest Shield,Medium Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora.\nOne of the enchanted blue shields. The Crest Shield greatly reduces magic damage.",3.0,300,Strike,10,0,0,0
Crystal Ring Shield,Small Shield,"Weapon born from the mystical creature of the Darkroot Garden, the Moonlight Butterfly.\nImbued with a powerful crystal power, like the butterfly created by Seath the Scaleless. Can emit crystal light rings.",3.0,120,Strike,10,0,0,0
Crystal Shield,Medium Shield,"A fully crystallized straight shield. How such a weapon was created is entirely unknown.\nThe crystallization boosts its defense, but makes the shield brittle. The shield cannot be used for long, as it cannot be repaired.",5.0,250,Strike,14,0,0,0
Dragon Crest Shield,Medium Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora.\nOne of the enchanted blue shields. The dragon crest shield greatly reduces fire damage.",3.0,300,Strike,10,0,0,0
Eagle Shield,Greatshield,"Greatshield with an eagle design. Lightest and easiest greatshield to handle.\nGreatshields are very stable, and deflect attacks. But one cannot parry, and instead bashes with the shield.",6.0,300,Strike,16,0,0,0
East-West Shield,Medium Shield,"A wooden kite shaped shield. It is decorated with the ancient symbol of a double-headed eagle, painted yellow.\nWooden shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability.",1.0,160,Strike,6,0,0,0
Effigy Shield,Small Shield,"Frightful occult shield. Defends against divine weapons and lightning.\nIn an ill-fated plot to destroy the very gods, the followers of the occult once attempted to steal the power of Gravelord Nito, the first of the dead.",3.0,180,Strike,10,0,0,16
Gargoyle's Shield,Medium Shield,"Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church.\nThe gargoyle's skin is tough by itself, and perhaps its shield may have been a prop, for it is a rare example of a metal shield that does not reduce physical damage 100%.",4.0,300,Strike,12,0,0,0
Giant Shield,Greatshield,"Greatshield made of bronze and marcasite. Used by the giant sentinels of Anor Londo.\nMarcasite, or white iron, is effective against non-physical damage, but as the shield is designed for the giant sentineles, its weight is unbearable.",18.0,300,Strike,36,0,0,0
Grass Crest Shield,Medium Shield,"Old medium metal shield of unknown origin. The grass crest is lightly imbued with magic, which slightly speeds stamina recovery.",3.0,200,Strike,10,0,0,0
Greatshield of Artorias,Greatshield,"Shield born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias.\nBoasts consistent defense and divine protection against various status effects.",16.0,600,Strike,34,0,0,0
Havel's Greatshield,Greatshield,"Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone.\nThis greatshield is imbued with the magic of Havel, proves a strong defense, and is incredibly heavy. A true divine heirloom on par with the Dragon tooth.",26.0,500,Strike,50,0,0,0
Heater Shield,Medium Shield,"Small metal shield. A standard, widely-used shield.\nThis shield is easy to use, and is one of the smallest shields that offers 100% physical damage reduction.",2.0,250,Strike,8,0,0,0
Hollow Soldier Shield,Medium Shield,"Metal shield wielded by Hollow soldiers. Heavily rusted but sturdy, providing a strong defense.",3.5,250,Strike,11,0,0,0
Iron Round Shield,Medium Shield,"Thick iron shield of Shiva of the East. Heaviest of the standard shields. Deflects enemy attacks.\nA famous specimen from Shiva's collection, but none who have faced it have lived to tell the tale.",5.0,280,Strike,14,0,0,0
Knight Shield,Medium Shield,"This medium metal shield is elegantly carved and painted.\nAlthough it is thought to have been used by ancient knights of nobility, its defense and capabilities are similar to other shields.",5.5,200,Strike,10,0,0,0
Large Leather Shield,Medium Shield,"Large, leather-covered round shield. Choice shield for hunters.\nWood shields are lighter than metal shields, but with lower physical damage reductions, and reduced shield stability.",1.5,200,Strike,7,0,0,0
Leather Shield,Small Shield,"Round leather-covered shield. A standard, widely-used shield.\nSmall shields are always less stable, but landing critical hits after parry is easier.",1.0,200,Strike,6,0,0,0
Pierce Shield,Medium Shield,"Shield of certain knights of Catarina, used in attacks with a large protrusion in the center.\nCan be used as a thrust weapon.",3.5,180,Thrust,11,14,0,0
Plank Shield,Small Shield,"Makeshift shield built from wood planks. Provides minimal protection, but at a cost of moderate humiliation.",1.5,120,Strike,7,0,0,0
Red & White Round Shield,Small Shield,"Round wooden shield crafted in Lordran featuring an impressive red and white design.\nThe giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage.",1.0,180,Strike,6,0,0,0
Sanctus,Medium Shield,"A legendary weapon of the Way of White, granted to an Undead paladin long ago. Once blessed with the protection of a white flame, but its power has all but faded, so that it provides only slight HP recovery.",3.0,410,Strike,10,0,0,18
Silver Knight Shield,Medium Shield,"Shield of the Silver Knights of Anor Londo. A flowing canal is carved deep into its face.\nThe Silver Knights stayed behind in Anor Londo to defend the illusory goddess, and their shields are blessed with her divine protection.",5.0,250,Strike,14,0,0,0
Small Leather Shield,Small Shield,"Small, leather-covered round shield, reinforced in critical spots with metal.\nSmall shields are always less stable, but landing critical hits after parry is easier.",0.5,200,Strike,5,0,0,0
Spider Shield,Medium Shield,Shield of the savage mountain bandits. Uniquely-shaped with a large black spider etched upon it.\nHas resistance to poison.,3.0,230,Strike,10,0,0,0
Spiked Shield,Medium Shield,"Shield of the infamous Darkwraith Kirk, Knight of Thorns. Covered with spikes.\nCan be used as a weapon. Sharp spikes cause heavy bleeding.",3.0,160,Strike,10,12,0,0
Stone Greatshield,Greatshield,"Mossy round greatshield used by the guardian of the Darkroot garden, the Stone Knight.\nThe Stone Knight is a creation of ancient magic, and this shield is imbued with the same power, but is also extremely heavy.",20.0,400,Strike,38,0,0,0
Sunlight Shield,Medium Shield,"Shield of Solaire of Astora, Knight of Sunlight. Decorated with a holy symbol, but Solaire illustrated it himself, and it has no divine powers of its own.\nAs it turns out, Solaire's incredible prowess is a product of his own training, and nothing else.",4.0,280,Strike,12,0,0,0
Target Shield,Small Shield,"Small round metal shield. Four protrusions used to parry attacks.\nSmall shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying.",2.0,150,Strike,8,11,0,0
Tower Kite Shield,Medium Shield,"Medium metal shield. Decorated with a tower, the symbol of protection. A standard, widely-used shield.",3.0,250,Strike,10,0,0,0
Tower Shield,Greatshield,"Metal Greatshield. Used by the Knight Berenike, known for his heavy armor.\nThis thick plate of iron is heavily defensive but ultra heavy. Greatshields are very stable, and deflect attacks. However, one cannot parry, and instead bashes with the shield.",13.0,300,Strike,30,0,0,0
Warrior's Round Shield,Small Shield,"Round wooden shield crafted in Lordran. Decorated with the ancient Labrys axe.\nThe giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood reduces magic damage.",1.0,180,Strike,6,0,0,0
Wooden Shield,Medium Shield,"Vertically elongated wooden shield. Decorated with a white dragon.\nWood shields are lighter then metal shields, but with lower physical damage reduction, and reduced shield stability.",1.5,160,Strike,7,0,0,0
