name,set,description,weight,durability,type
Black Leather Gloves,Black Leather,"These gloves made of smooth black leather are extremely quiet, a good thing for those who hide in the shadows.|The leather itself is thick, offering a decent level of protection.",1.8,250,Hands Armor
Black Manchette,Black,"Manchette worn by pardoners serving Velka, the Goddess of Sin.|The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic.",1.8,400,Hands Armor
Black Sorcerer Boots,Black Sorcerer,"Boots worn by the secret sorcerers at Vinheim Dragon School.|They secretly work with sound-based spells, and never reveal themselves.",1.0,200,Legs Armor
Black Sorcerer Cloak,Black Sorcerer,"Cloak worn by the secret sorcerers at Vinheim Dragon School.|They secretly work with sound-based spells, and never reveal themselves.",1.8,200,Chest Armor
Black Sorcerer Gauntlets,Black Sorcerer,"Gauntlets worn by the secret sorcerers at Vinheim Dragon School.|They secretly work with sound-based spells, and never reveal themselves.",1.0,200,Hands Armor
Black Sorcerer Hat,Black Sorcerer,"Hat worn by the secret sorcerers at Vinheim Dragon School.|They secretly work with sound-based spells, and never reveal themselves.",0.7,200,Head Armor
Black Tights,Black,"Tights worn by pardoners serving Velka, the Goddess of Sin.|The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic.",1.8,400,Legs Armor
Bloated Head,,"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of Manus, father of the Abyss.|The bloated head is fissured, the cracks lined with innumerable tiny red eyeballs with a hard outside and mucous-filled inside, no sane person could ever wear it.",2.5,150,Head Armor
Bloated Sorcerer Head,,"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of manus, father of the Abyss.|The bloated head is fissured, the cracks lined with innumerable tiny red eyeballs and accented by protuding brain parts. It is lightly enchanted, suggesting that it may have belonged to a sorcerer.",2.2,150,Head Armor
Blood-Stained Skirt,Dingy,"Worn by the Fire Keeper at Firelink Shrine.|It is thought to have once been the white skirt of a maiden, but its true origin is lost in patches of blood. Perhaps its former wearer was maimed to prevent escape?",2.5,150,Legs Armor
Boots of the Explorer,Adventurer's,"Strange boots from the ancient land of Zena, birthplace of the curious dealer Domhnall.|The inlaid silver rings symbolize an explorer.",4.0,500,Legs Armor
Bracelet of the Great Lord,Great Lord,"Bracelet of Gwyn, Lord of Cinder, who linked the First Flame.|Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.",2.8,400,Hands Armor
Brass Armor,Brass,"Armor of the Darkmoon Knightess, Fire Keeper of Anor Londo.|After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received this armor, which hides her hideous form and helps her hunt the guilty.",10.9,600,Chest Armor
Brass Gauntlets,Brass,"Gauntlets of the Darkmoon Knightess, Fire Keeper of Anor Londo.|After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received these gauntlets, which hide her hideous form and help her hunt the guilty.",5.4,600,Hands Armor
Brass Helm,Brass,"Helm of the Darkmoon Knightess, Fire Keeper of Anor Londo.|After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received this helm, which hides her hideous form and helps her hunt the guilty.",5.1,600,Head Armor
Brass Leggings,Brass,"Leggings of the Darkmoon Knightess, Fire Keeper of Anor Londo.|After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received these leggings, which hides her hideous form and help her hunt the guilty.",6.4,600,Legs Armor
Brigand Armor,Brigand,Armor worn by the brigands who raid mountain hamlets and attack travelers.|The addition of metal over a base of cloth and leather offers good mobility and defense.,3.1,200,Chest Armor
Brigand Gauntlets,Brigand,Gauntlets worn by the brigands who raid mountain hamlets and attack travelers.|The addition of metal over a base of cloth and leather offers good mobility and defense.,1.8,200,Hands Armor
Brigand Hood,Brigand,"Hood worn by the brigands who raid mountain hamlets and attack travelers.|In addition to protecting against the blazing sun, dust, and sand, it helps them tell friend from foe in the heat of battle.",1.2,200,Head Armor
Brigand Trousers,Brigand,Trousers worn by the brigands who raid mountain hamlets and attack travelers.|The addition of metal over a base of cloth and leather offers good mobility and defense.,1.8,200,Legs Armor
Catarina Armor,Catarina,"Distinctively shaped armor worn by the Knights of Catarina.|Outside of Catarina, it is often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",11.7,400,Chest Armor
Catarina Gauntlets,Catarina,"Distinctively shaped gauntlets worn by the Knights of Catarina.|Outside of Caterina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",6.9,400,Hands Armor
Catarina Helm,Catarina,"Distinctively shaped helm worn by the Knights of Catarina.|Outside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",4.5,400,Head Armor
Catarina Leggings,Catarina,"Distinctively shaped leggings worn by the Knights of Catarina.|Outside of Caterina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",6.9,400,Legs Armor
Chain Armor,Chain,"Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.|Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.",6.0,300,Chest Armor
Chain Helm,Chain,"A chainmail helm of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.|Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.",3.0,300,Head Armor
Chain Leggings,Chain,"Chainmail leggings of thin interlinking rings of steel. It is common  throughout the human world since it can be easily produced, is not too heavy, and offers good defense.|Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.",4.6,300,Legs Armor
Chester's Gloves,Chester's,"Leather gloves worn by Marvellous Chester, a man of mystery lost in the past.|These gloves have no distinguishing features, but are of extremely high quality.",1.5,300,Hands Armor
Chester's Long Coat,Chester's,"Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past.|This exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth.",4.5,300,Chest Armor
Chester's Trousers,Chester's,"Black leather trousers worn by Marvellous Chester, a man of mystery lost in the past.|These exquisitely sewn trousers are decorated with silver trinkets of varying sizes, and have straps on the inner legs for carrying crossbow bolts.",3.2,300,Legs Armor
Cleric Armor,Cleric,"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|It is rather substantial in size and weight, making its wearer look even bigger than he actually is.",12.5,500,Chest Armor
Cleric Gauntlets,Cleric,"Gauntlets worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|They are rather substantial in size and weight, making their wearer look even bigger than he actually is.",7.4,500,Hands Armor
Cleric Helm,Cleric,"Helm worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|It is rather substantial in size and weight, making its wearer look even bigger than he actually is.",4.8,500,Head Armor
Cleric Leggings,Cleric,"Leggings worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|They are rather substantial in size and weight, making their wearer look even bigger than he actually is.",7.4,500,Legs Armor
Crimson Gloves,Crimson,"Gloves of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.|The Sealers were once known as healers, and the bright crimson was a symbol of that.",0.8,400,Hands Armor
Crimson Robe,Crimson,"Robe of the sorcerers who flooded New Londo to seal away the Darkwraiths and the Four Kings who descended into Dark.|The Sealers were once known as healers, and the bright crimson was a symbol of that.",3.9,400,Chest Armor
Crimson Waistcloth,Crimson,"Waistcloth of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into dark.|The Sealers were once known as healers, and the bright crimson was a symbol of that.",3.5,400,Legs Armor
Crown of Dusk,Antiquated,"Special magic crown bestowed upon Dusk, Princess of Oolacile, upon her birth.|Its wearer is blessed by all manner of magic. This raises the power and effect of the wearer's magic, but damage suffered by magic attack also rises.",0.4,150,Head Armor
Crown of the Dark Sun,Moonlight,"Crown of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.|This crown of the gods demands faith immeasurable of its wearer, but it is imbued with Darkmoon power that enhances all magic. The image of the sun manifests Gwyndolin's deep adoration of the sun.",3.0,300,Head Armor
Crown of the Great Lord,Great Lord,"Crown of Gwyn, Lord of Cinder, who linked the First Flame.|Lord Gwyn, bearer of the ultimate soul, divided that power among his great clan before linking the flame. But he did keep his crown, perhaps to preserve a symbol of the monarch, for its actual power had fully subsided.",3.0,800,Head Armor
Crystalline Armor,Crystalline,"Armor worn by a Hollowed knight, who was partially crystallized.|The crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired.",10.9,150,Chest Armor
Crystalline Gauntlets,Crystalline,"Armor worn by a Hollowed knight, who was partially crystallized.|The crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired.",6.4,150,Hands Armor
Crystalline Helm,Crystalline,"Helm worn by a Hollowed knight, who was partially crystallized.|The crystal power provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired.",4.2,150,Head Armor
Crystalline Leggings,Crystalline,"Leggings worn by a Hollowed knight, who was partially crystallized.|The crystal power provides good defense, but they cannot be used for long because they are easily broken and cannot be repaired.",6.4,150,Legs Armor
Dark Armor,Dark,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark.|Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.",9.8,300,Chest Armor
Dark Gauntlets,Dark,"Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark.|Their gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain.",5.8,300,Hands Armor
Dark Leggings,Dark,"Leggings of the Darkwraiths, former knights of New Londo who descended into Dark.|Their leggings transformed, and remain a symbol of the Dark servants and their diabolical art of Lifedrain.",5.8,300,Legs Armor
Dark Mask,Dark,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark.|Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face.",3.8,300,Head Armor
Dingy Gloves,Dingy,"Worn by the Fire Keeper at Firelink Shrine.|They are thought to have once been the white gloves of a maiden, but smoke and ashes from bonfires darkened them over the years.",1.2,150,Hands Armor
Dingy Hood,Dingy,"Worn by the Fire Keeper at Firelink Shrine.|It is thought to have once been the white hood of a maiden, but smoke and ashes from bonfires darkened it over the years.",0.8,150,Head Armor
Dingy Robe,Dingy,"Worn by the Fire Keeper at Firelink Shrine.|It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires darkened it over the years.",3.0,150,Chest Armor
Eastern Armor,Eastern,"A distinctive armor made in an Eastern land.|Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.",12.3,450,Chest Armor
Eastern Gauntlets,Eastern,"Distinctive gauntlets made in an Eastern land.|Exquisitely crafted, these gauntlets offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.",1.5,450,Hands Armor
Eastern Helm,Eastern,"A distinctive helm made in an Eastern land.|Exquisitely crafted, this helm offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.",4.7,450,Head Armor
Eastern Leggings,Eastern,"Distinctive leggings made in an Eastern land.|Exquisitely crafted, these leggings offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.",4.0,450,Legs Armor
Elite Cleric Armor,Elite Cleric,"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|Among such armors, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests.",13.3,500,Chest Armor
Elite Cleric Gauntlets,Elite Cleric,"Gauntlets worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|Among such gauntlets, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests.",7.8,500,Hands Armor
Elite Cleric Helm,Elite Cleric,"Helm worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|Among such helmets, those that were black belonged to warrior clerics sent on missions, many of whom were high level priests.",5.1,500,Head Armor
Elite Cleric Leggings,Elite Cleric,"Leggings worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.|Among such leggings, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests.",7.8,500,Legs Armor
Elite Knight Armor,Elite Knight,"Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat.|Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.",11.7,450,Chest Armor
Elite Knight Gauntlets,Elite Knight,"Gauntlets of a nameless knight, perhaps an elite knight of Astora.|Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.",3.7,450,Hands Armor
Elite Knight Helm,Elite Knight,"Helm of a nameless knight, perhaps an elite knight of Astora.|Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.",4.5,450,Head Armor
Elite Knight Leggings,Elite Knight,"Leggings of a nameless knight, perhaps an elite knight of Astora.|Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.",6.9,450,Legs Armor
Embraced Armor of Favor,Favor,"Armor of Lautrec the Embraced, representing the goddess Fina's love.|The goddess's arms wrap around it, as if to embrace the wearer.",11.7,500,Chest Armor
Fang Boar Helm,,"Severed head of the fully-armored Fang Boar taken by the one who killed it as proof of his victory, just as the Gods once did with the head of the ancient dragon.|Can be worn on the head as a surprisingly sound piece of protective gear.",8.0,600,Head Armor
Gargoyle Helm,,"Helm of the gargoyle, an enchanted creature that guarded the Bell of Awakening in the belfry of the Undead Church.|This bronze helm was for mere appearance's sake, as gargoyle skin is naturally hard. Little in the way of defense can be expected from it.",3.5,500,Head Armor
Gauntlets of Artorias,Artorias,"Gauntlets Of Artorias the Abysswalker, one of Gwyn's four knights.|The death of the their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility.",4.6,600,Hands Armor
Gauntlets of Favor,Favor,"Gauntlets of Lautrec the Embraced, representing the goddess Fina's love.|During his solitude, he forsook everything, for he believed in the goddess's love for him.",5.0,500,Hands Armor
Gauntlets of Thorns,Thorns,"Gauntlets of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.|They are a fitting item for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies.",6.2,250,Hands Armor
Gauntlets of the Channelers,Channeler's,"Gauntlets of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens.|The heaviest of protective gear for sorcerers, and imbued with magic.",3.0,300,Hands Armor
Gauntlets of the Vanquisher,Adventurer's,"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall.|The gold bracelets symbolize a vanquisher.",3.0,500,Hands Armor
Giant Armor,Giant,"Armor of the giant sentinels of Anor Londo.|Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.",16.4,600,Chest Armor
Giant Gauntlets,Giant,"Gauntlets of the giant sentinels of Anor Londo.|Made from ancient brass, they also offer protection versus non-physical attacks, but due to their giant size, they are extremely heavy for humans, and impede stamina recovery.",9.7,600,Hands Armor
Giant Helm,Giant,"Helm of the giant sentinels of Anor Londo.|Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.",6.3,600,Head Armor
Giant Leggings,Giant,"Leggings of the giant sentinels of Anor Londo.|Made from ancient brass, they also offer protection versus non-physical attacks, but due to their giant size, they are extremely heavy for humans, and impede stamina recovery.",9.7,600,Legs Armor
Gold-Hemmed Black Cloak,Gold-Hemmed Black,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.|She wore this gold-hemmed black cloak before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.",3.5,400,Chest Armor
Gold-Hemmed Black Gloves,Gold-Hemmed Black,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.|She wore these gold lined black gloves before even the Age of Fire, and they offer strong resistance versus fire, poison, and other perils.",1.2,400,Hands Armor
Gold-Hemmed Black Hood,Gold-Hemmed Black,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.|She wore this gold-hemmed black hood before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.",1.4,400,Head Armor
Gold-Hemmed Black Skirt,Gold-Hemmed Black,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.|She wore this gold-hemmed black skirt before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.",3.0,400,Legs Armor
Golem Armor,Golem,"Body of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.|Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery.",16.4,700,Chest Armor
Golem Gauntlets,Golem,"Arms of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.|Without its core, they are mere hunks of iron, and can be equipped as solid protective gear, but their immense weight hinders stamina recovery.",9.7,700,Hands Armor
Golem Helm,Golem,"Head of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.|Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery.",6.3,700,Head Armor
Golem Leggings,Golem,"Legs of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.|Without its core, they are mere hunks of iron, and can be equipped as solid protective gear, but their immense weight hinders stamina recovery.",9.7,700,Legs Armor
Gough's Armor,Gough's,"Armor of Hawkeye Gough, one of Gwyn's Four Knights.|Armor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors.",13.0,450,Chest Armor
Gough's Gauntlets,Gough's,"Gauntlets of Hawkeye Gough, one of Gwyn's Four Knights.|Received as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights.",7.0,450,Hands Armor
Gough's Helm,Gough's,"Helm of Hawkeye Gough, one of Gwyn's Four Knights. Received as a decoration of knightly honor.|A helm crafted especially for the honorable Hawkeye Gough, only the eye holes were packed with tree resin by those who dismissed Gough as a brutish giant.",6.5,450,Head Armor
Gough's Leggings,Gough's,"Leggings of Hawkeye Gough, one of Gwyn's Four Knights.|Received as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights.",8.0,450,Legs Armor
Guardian Armor,Guardian,"Armor of the stone knights, guardians of the forest sanctuary.|The stone knights are golems animated by magic, and their enchanted armor is oppressively heavy.",17.0,800,Chest Armor
Guardian Gauntlets,Guardian,"Gauntlets of the stone knights, guardians of the forest sanctuary.|The stone knights are golems animated by magic, and their enchanted gauntlets are oppressively heavy.",10.4,800,Hands Armor
Guardian Helm,Guardian,"Helm of the stone knights, guardians of the forest sanctuary.|The stone knights are golems animated by magic, and their enchanted helms are oppressively heavy.",7.2,800,Head Armor
Guardian Leggings,Guardian,"Leggings of the stone knights, guardians of the forest sanctuary.|The stone knights are golems animated by magic, and their enchanted leggings are oppressively heavy.",10.4,800,Legs Armor
Hard Leather Armor,Hard Leather,"Armor made of thick leather. Very common type of protective gear, it provides a sound level of defense.",5.9,250,Chest Armor
Hard Leather Boots,Hard Leather,"Boots made of thick leather. Very common type of protective gear, they provides a sound level of defense.",3.5,250,Legs Armor
Hard Leather Gauntlets,Hard Leather,"Gauntlets made of thick leather. Very common type of protective gear, they provide a sound level of defense.",3.5,250,Hands Armor
Havel's Armor,Havel's,"Armor worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides.|Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.",19.5,900,Chest Armor
Havel's Gauntlets,Havel's,"Gauntlets worn by Havel the Rock's warriors. Carved from solid rock, their tremendous weight is matched only by the defense it provides.|Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.",11.5,900,Hands Armor
Havel's Helm,Havel's,"Helm worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides.|Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.",7.5,900,Head Armor
Havel's Leggings,Havel's,"Leggings worn by Havel the Rock's warriors. Carved from solid rock, their tremendous weight is matched only by the defense it provides.|Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.",11.5,900,Legs Armor
Heavy Boots,Tattered Cloth,"Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable.",1.6,400,Legs Armor
Helm of Artorias,Artorias,"Helm of Artorias the Abysswalker, one of Gwyn's four knights.|The death of the helm's owner can be surmised from the corrosive Dark of the Abyss, and the musty azure-blue tassel, once a symbol of pride and glory.",4.2,600,Head Armor
Helm of Favor,Favor,"Helm of Lautrec the Embraced, representing the goddess Fina's love.|During his solitude, he forsook everything, for he believed in the goddess's love for him.",4.5,500,Head Armor
Helm of Thorns,Thorns,"Helm of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.|It is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies.",4.1,250,Head Armor
Helm of the Wise,Adventurer's,"A strange helm from the ancient land of Zena, birthplace of the curious dealer Domhnall.|The two horns are believed to symbolize wisdom.",5.1,500,Head Armor
Hollow Soldier Armor,Hollow Soldier,"Armor worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy.",7.8,200,Chest Armor
Hollow Soldier Helm,Hollow Soldier,"Helm worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy.|It is wise to wear a sturdy form of head protection against arrows and other physical threats.",3.0,200,Head Armor
Hollow Soldier Waistcloth,Hollow Soldier,Waistcloth worn by Hollow soldiers. It is so tattered that it barely serves its purpose anymore.,1.5,200,Legs Armor
Hollow Thief's Hood,Hollow Thief's,Hood worn by Hollow thieves. Used to hide a guilty countenance.,1.1,250,Head Armor
Hollow Thief's Leather Armor,Hollow Thief's,Leather armor worn by Hollow thieves. It stifles noise and helps its wear hide in the shadows.,2.8,250,Chest Armor
Hollow Thief's Tights,Hollow Thief's,Tights worn by Hollow thieves. They stifle noise and help their wearer hide in the shadows.,1.7,250,Legs Armor
Hollow Warrior Armor,Hollow Warrior,Armor worn by Hollow warriors. It is made of thick leather that is tattered with age.,6.6,250,Chest Armor
