name,url,description
Soul of Gravelord Nito,"Soul of Gravelord Nito, first of the dead. This Lord Soul was discovered at the dawn of the Age of Fire.|Gravelord Nito administers the death of all manner of beings. The power of his soul is so great that it satiates the Lordvessel, despite the fact that much of its energy has already been offered to death."
"Soul of Gwyn, Lord of Cinder","https://darksouls.fandom.com/wiki/Soul_of_Gwyn,_Lord_of_Cinder","Soul of Gwyn, Lord of Sunlight and Cinder, who linked the First Flame.|Lord Gwyn bequeathed most of his power to the Gods, and burned as cinder for the First Flame, but even so, Lord Gwyn's soul is a powerful thing indeed."
Soul of Gwyndolin,"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo.|Special beings have special souls.|Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create a unique weapon."
Soul of Manus,"Soul of Manus, Father of the Abyss. This extraordinary soul is a viscous, lukewarm lump of gentle humanity.|Ancient Manus was clearly once human. But he became the Father of the Abyss after his humanity went wild, eternally seeking his precious broken pendant."
Soul of Ornstein,"Soul of Ornstein, Dragonslayer Knight who guards the cathedral in the forsaken city of Anor Londo.|Special beings have special souls. Lord Gwyn granted this soul to his four most trusted knights.|Use to acquire a huge amount of souls, or to create a unique weapon."
Soul of Priscilla,"Soul of Priscilla the Crossbreed, trapped inside the painted world of Ariamis.|Special beings have special souls.|Use the soul of this crossbreed bastard child and antithesis to all life to acquire a huge amount of souls, or to create a unique weapon."
Soul of Quelaag,"Soul of Quelaag, once daughter of the Witch of Izalith, but now a chaos demon.|Special beings have special souls, and Quelaag's soul contains all aspects of Chaos.|Use it to acquire a huge amount of souls, or to create a unique weapon."
Soul of Sif,"Soul of Sif the Great Grey Wolf, who guards the grave of Artorias the Abysswalker.|Special beings have special souls.|Use the soul of Sif, who inherited the divine knightsword, to acquire a huge amount of souls, or create a unique weapon."
Soul of Smough,"Soul of Smough the Executioner, who guards the cathedral in the forsaken city of Anor Londo.|Special beings have special souls.|Use the soul of this eerily gleeful executioner to acquire a huge amount of souls, or to create a unique weapon."
Soul of a Brave Warrior,"Soul of a brave Undead warrior who has long ago gone Hollow.|Use to acquire a large amount of souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of a Great Hero,"Great soul of a hero of legend who has long ago gone Hollow.|Use to acquire an incredible amount of souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of a Hero,"Soul of a hero of legend who has long ago gone Hollow.|Use to acquire a large amount of souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of a Lost Undead,"Soul of a lost Undead who has long ago gone Hollow.|Use to acquire souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of a Nameless Soldier,"Soul of a nameless Undead soldier who has long ago gone Hollow.|Use to acquire souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of a Proud Knight,"Soul of a proud Undead knight who has long ago gone Hollow.|Use to acquire many souls.|Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
Soul of the Four Kings,"Soul of one of the Four Kings, who fell to the Dark. A fragment of a Lord Soul discovered at the dawn of the Age of Fire.|Lord Gwyn recognized the foresight of these four great leaders of New Londo, and granted them their ranks and the fragments of a great soul. Although this is not a full Lord Soul, it can still satiate the Lordvessel."
Soul of the Moonlight Butterfly,"Soul of the mystical Moonlight Butterfly, which flitters in Darkroot Garden.|Special beings have special souls. The butterfly's soul is a creation of Seath the Scaleless.|Use to acquire a huge amount of souls, or to create a unique weapon."
Soul of Seath the Scaleless,"Soul of the albino dragon, Seath the Scaleless. A fragment of a Lord Soul discovered at the dawn of the Age of Fire.|Seath allied with Lord Gwyn and turned upon the dragons; for this he was awarded Dukedom embraced by the royalty, and given a fragment of a great soul. Although just a piece, it will still satiate the Lordvessel."
