name,url,description
Dark Wood Grain Ring,https://darksouls.fandom.com/wiki/Dark_Wood_Grain_Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.|Agents of subterfuge in this faraway land are particularly fond of the dark gold wood grain, which greatly alters the player's rolling motion."
Darkmoon Blade Covenant Ring,https://darksouls.fandom.com/wiki/Darkmoon_Blade_Covenant_Ring,"Ring granted to those bound by the Darkmoon Blade Covenant. Answer Dark Sun Gwyndolin's summoning.|Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy."
Darkmoon Seance Ring,https://darksouls.fandom.com/wiki/Darkmoon_Seance_Ring,"This ring is granted to adherents of Gwyndolin, Darkmoon deity and last born of Gwyn, Lord of Sunlight. Grants additional magic and attunement slots.|The Dark Sun Gwyndolin is the only remaining deity in Anor Londo. His followers are few, but their tasks are of vital importance."
Dusk Crown Ring,https://darksouls.fandom.com/wiki/Dusk_Crown_Ring,"This magic crown-shaped ring was granted to Princess Dusk of Oolacile upon her birth.|The ringstone allows its wearer to cast additional sorceries, but at the cost of one-half of HP."
East Wood Grain Ring,https://darksouls.fandom.com/wiki/East_Wood_Grain_Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.|The ring slows the loss of weapon durability and is particularly useful to bearers of delicate swords crafted in the East."
Flame Stoneplate Ring,https://darksouls.fandom.com/wiki/Flame_Stoneplate_Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.|The red stoneplate symbolizes fire, and boosts defense against flame."
Havel's Ring,https://darksouls.fandom.com/wiki/Havel%27s_Ring,"This ring was named after Havel the Rock, Lord Gwyn's old battlefield compatriot.|Havel's men wore the ring to express faith in their leader and to carry a heavier load."
Hawk Ring,https://darksouls.fandom.com/wiki/Hawk_Ring,"One of the special rings granted to the four knights of Gwyn, The Hawk Ring belongs to Hawkeye Gough, who led the Greatarchers.|Boosts bow range, so that arrows fly like they were shot by Gough's great bow, which took down high-flying dragons."
Hornet Ring,https://darksouls.fandom.com/wiki/Hornet_Ring,"One of the special rings granted to the four knights of Gwyn. The Hornet Ring belonged to the Lord's Blade Ciaran.|By boosting critical attacks, its wearer can annihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies."
Leo Ring,https://darksouls.fandom.com/wiki/Leo_Ring,One of the special rings granted to the four knights of Gwyn. The Leo Ring belonged to Ornstein the Dragonslayer. His lugged spear is said to have sliced a boulder in two.
Lingering Dragoncrest Ring,https://darksouls.fandom.com/wiki/Lingering_Dragoncrest_Ring,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.|The ring is engraved with a lingering dragon, and boosts the length of the effects of sorceries."
Old Witch's Ring,https://darksouls.fandom.com/wiki/Old_Witch%27s_Ring,"Old ring from an old witch.|Engraved minutely with indecipherable script, but seemingly useless."
Orange Charred Ring,https://darksouls.fandom.com/wiki/Orange_Charred_Ring,"An orange ring enchanted by a witch. Reduces lava damage.|Since his sores were inflamed by lava from birth, his witch sisters gave him this special ring. But fool that he is, he readily dropped it, and from that spot, a terrible centipede demon was born."
Poisonbite Ring,https://darksouls.fandom.com/wiki/Poisonbite_Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.|Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent poison."
Rare Ring of Sacrifice,https://darksouls.fandom.com/wiki/Rare_Ring_of_Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin. The magenta-shaded ring is especially rare. Its wearer will lose nothing upon death, and will be freed from any curse whatsoever, but the ring itself breaks."
Red Tearstone Ring,https://darksouls.fandom.com/wiki/Red_Tearstone_Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.|This red tearstone from Carim boosts the attack of its wearer when in danger.
Ring of Blind Ghosts,https://darksouls.fandom.com/wiki/Ring_of_Blind_Ghosts,"This ring belonged to the seal guardian of New Londo. It prevents its wearer's discovery by cursed ghosts.|There were once three guardians of the seal, but two of them tired of their eternal task, and left New Londo long ago."
Ring of Condemnation,https://darksouls.fandom.com/wiki/Ring_of_Condemnation,"This black diamond ring is granted to those who enter a Covenant with Velka, the Goddess of Sin.|It automatically counterattacks when its wearer inflicts sustained damage.|Velka the Goddess of Sin is an eccentric witch versed in various secret rites."
Ring of Displacement,https://darksouls.fandom.com/wiki/Ring_of_Displacement,"The ring of a lost miracle of New Londo. This ring takes damage in place of its wearer, but has a fixed chance of breaking.|As evidenced by this ring, the culture of New Londo was unique, and its flooding is widely considered to be a great loss."
Ring of Favor and Protection,https://darksouls.fandom.com/wiki/Ring_of_Favor_and_Protection,"A ring symbolizing the favor and protection of the goddess Fina, known in legend to possess ""fateful beauty"".|This ring boosts its wearer's HP, stamina, and max equipment load, but breaks if ever removed."
Ring of Fog,https://darksouls.fandom.com/wiki/Ring_of_Fog,"Those who befriend Alvina are given this mysterious ring. It resembles a pearl with its robust pure-white fog.|This ring camouflages its wearer's presence, helping to prevent detection."
Ring of Sacrifice,https://darksouls.fandom.com/wiki/Ring_of_Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.|Its wearer will lose nothing upon death, but the ring itself breaks."
Ring of Steel Protection,https://darksouls.fandom.com/wiki/Ring_of_Steel_Protection,"This ring belonged to the Knight King Rendal. It grants its wearer protection by boosting defense against physical attacks.|Of the many legends surrounding the Knight King Rendal, one of the more well-known speaks of his standing down a giant drake and slashing it to pieces."
Ring of the Evil Eye,https://darksouls.fandom.com/wiki/Ring_of_the_Evil_Eye,"According to legend, this ring contains the spirit of the evil eye, a dark beast which assaulted Astora.|The strength of the evil eye does not waver, and HP is absorbed from fallen enemies."
Ring of the Sun Princess,https://darksouls.fandom.com/wiki/Ring_of_the_Sun_Princess,"This ring is granted to those who enter a Covenant with Gwynevere, daughter of Lord Gwyn and the Princess of Sunlight. This slightly warm ring boosts the synergy of miracles.|The Princess of Sunlight Gwynevere left Anor Londo along many other deities, and later became wife to Flame God Flann."
Ring of the Sun's Firstborn,https://darksouls.fandom.com/wiki/Ring_of_the_Sun%27s_Firstborn,"Lord Gwyn's firstborn, who inherited the sunlight, once wore this ancient ring. Boosts the strength of miracles.|Lord Gwyn's firstborn was a god of war, but his foolishness led to a loss of the annals, and rescinding of his deific status. Today, even his name is not known."
Rusted Iron Ring,https://darksouls.fandom.com/wiki/Rusted_Iron_Ring,"This iron ring was used to shackle the guilty. It is terribly rusted, and faintly stained with blood.|Those who find this strange ring to their liking will be pleased to find it easier to gain footing on poor ground such as swamps."
Slumbering Dragoncrest Ring,https://darksouls.fandom.com/wiki/Slumbering_Dragoncrest_Ring,"This ring was secretly worn by a certain surreptitious sorcerer at Vinheim Dragon School.|The ring is engraved with an everlasting dragon in silent slumber, and masks all sound emitting from its wearer."
Speckled Stoneplate Ring,https://darksouls.fandom.com/wiki/Speckled_Stoneplate_Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.|The precious rare speckled stoneplate grants a small boost to defence against magic, flame and lightning."
Spell Stoneplate Ring,https://darksouls.fandom.com/wiki/Spell_Stoneplate_Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships. The blue stoneplate symbolizes souls, and boost defense against magic."
Thunder Stoneplate Ring,https://darksouls.fandom.com/wiki/Thunder_Stoneplate_Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships. The yellow stoneplate symbolizes thunder, and boost defense against lightning."
Tiny Being's Ring,https://darksouls.fandom.com/wiki/Tiny_Being%27s_Ring,"Ring made of an ancient tiny red jewel. Grants small increase to HP.|Rings grant powers large and small. Their discovery, and effective use, can make one's journey easier."
White Seance Ring,https://darksouls.fandom.com/wiki/White_Seance_Ring,"A divine ring entrusted to the head bishop of the Way of White and apostle to Allfather Lloyd, uncle to Lord Gwyn. It grants additional attunement slots.|The head bishop of the Way of White is the guardian of law and caste, and one of the great royals of Thorolund."
Wolf Ring,https://darksouls.fandom.com/wiki/Wolf_Ring,"One of the special rings granted to the four knights of Gwyn. The wolf ring belongs to Artorias the Abysswalker.  Artorias had an unbendable will of steel, and was unmatched with a greatsword."
